"","V2_01","V2_02","V3_01","V3_02","V4_01","V4_02","V5_01","V5_02","V6_01","V6_02","V7_01","V7_02","V8_01","V8_02","V9_01","V9_02","V10_01","V10_02","V11_01","V11_02","V12_01","V12_02","V13_01","V13_02","V14_01","V14_02","V15_01","V15_02"
"1","bearing_degrees","200","coordinates","N1.20701 E37.62679","distance_meters","100","habitat_","open_scrub","how_many_animals_were_observed","4","observers","TW2","species_","giraffe","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA
"2","bearing_degrees","300","coordinates","N1.20195 E37.62064","distance_meters","20","habitat_","commiphora_dominated","observers","TW2 o","species_","gerenuk","was_a_group_of_animals_observed","individual","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","bearing_degrees","10","coordinates","N1.18823 E37.59601","distance_meters","80","habitat_","open_scrub","observers","TW2","species_","bird","was_a_group_of_animals_observed","individual","was_the_animal_observed_as_road","alive","what_species_of_bird_was_observ","Ostrich","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA
"4","bearing_degrees","20","coordinates","N1.15642 E37.59455","distance_meters","180","habitat_","open_scrub","how_many_animals_were_observed","300","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"5","bearing_degrees","300","coordinates","N1.14868 E37.59669","distance_meters","30","habitat_","open_scrub","how_many_animals_were_observed","7","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"6","bearing_degrees","70","coordinates","N1.13874 E37.59910","distance_meters","200","habitat_","open_scrub","how_many_animals_were_observed","34","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"7","bearing_degrees","20","coordinates","N1.11442 E37.59324","distance_meters","40","habitat_","disturbed_human_buildings","how_many_animals_were_observed","12","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"8","approximate_age_of_individual","3","approximate_number_of_days_sinc","2","coordinates","N1.03003 E37.56321","habitat_","commiphora_dominated","observers","TW2","sex_of_animal","female","species_","jackal","was_the_animal_observed_as_road","roadkill","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","approximate_age_of_individual","null","approximate_number_of_days_sinc","null","bearing_degrees","40","coordinates","N1.97961 E37.57896","distance_meters","50","generated_note_survey","null","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","null","livestock","null","observers","TW2","sex_of_animal","null","species_","gerenuk","was_a_group_of_animals_observed","individual","was_the_animal_observed_as_road","alive,
    what_species_of_bird_was_observ"
"10","bearing_degrees","20","coordinates","N0.85822 E37.56822","distance_meters","20","habitat_","dense_scrub","how_many_animals_were_observed","53","observers","TW2","species_","baboon","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA
